Zimmerzahl, Stockwerk, Heizung, Hausmeister, Kindergarten, Schule, S-Bahn, Garage, Miete, Nebenkosten, Alter, Aufzug, Lage, Entfernung, Kaution, Küche, Bad, Balkon, Terrasse, Kehrwoche, Möbliert, Quadratmeter, Teacher
5 Zimmer, 4.Stock, Öl, ja, nah, fern, erreichbar, ja, 851-900, 251-300, über 100, ja, Nebenstrasse, 11-20 km, bis 1000, Küche (alt), Badewanne, ja, ja, nein, teilmöbliert, 71-80, nein, 
Ein Zimmer, 7.Stock, Öl, nein, erreichbar, erreichbar, erreichbar, nein, 251-300, über 300, 7-10 Jahre, nein, Nebenstrasse, > 30 km, bis 1000, Küche (alt), Dusche auf Flur, nein, ja, ja, teilmöbliert, 111-120, nein, 
5-6 Zimmer, 6.Stock, Lüftungsheizung, ja, fern, nah, mit Bus, ja, 751-800, über 300, 31-50 Jahre, nein, Wohngebiet, 11-20 km, 1000-1500, keine, Dusche, ja, nein, ja, teilmöbliert, 71-80, nein, 
5 Zimmer, 2.Stock, Öl, nein, nah, erreichbar, erreichbar, ja, 601-650, 251-300, 76-100 Jahre, nein, Spielstrasse, < 3 km, über 3000, keine, Badewanne, nein, nein, ja, nein, 20-30, nein, 
Ein Zimmer, 2.Stock, Gas-Etage, ja, erreichbar, nah, nein, ja, 601-650, 151-200, 51-75 Jahre, ja, Nebenstrasse, 5-10 km, 2000-2500, Küche (alt), Dusche auf Flur, ja, ja, ja, teilmöbliert, 41-50, nein, 
2-3 Zimmer, 4.Stock, Gas-Zentral, ja, erreichbar, nah, mit Bus, ja, 551-600, über 300, 76-100 Jahre, ja, Abgelegen, < 3 km, 2000-2500, Küche (neu), Dusche auf Flur, ja, nein, ja, ja, 101-110, nein, 
5-6 Zimmer, 8.Stock, Lüftungsheizung, ja, erreichbar, nah, nah, nein, 150-200, unter 50, 7-10 Jahre, ja, Hauptstrasse, < 3 km, über 3000, Küche (alt), Waschbecken, nein, ja, ja, nein, 51-60, nein, 
Ein Zimmer, 3.Stock, Gas-Etage, ja, erreichbar, erreichbar, nah, ja, 150-200, unter 50, 4-7 Jahre, nein, Abgelegen, 11-20 km, 1000-1500, Küche (neu), Dusche auf Flur, nein, nein, nein, nein, 20-30, ja, 
5 Zimmer, 1.Stock, Lüftungsheizung, nein, fern, fern, nah, nein, 751-800, über 300, über 100, ja, Wohngebiet, 11-20 km, 1000-1500, keine, Dusche, nein, nein, nein, nein, 20-30, nein, 
4-5 Zimmer, 6.Stock, Lüftungsheizung, nein, nah, nah, nah, ja, 551-600, über 300, 4-7 Jahre, nein, Nebenstrasse, Zentrum, 2000-2500, Küche (alt), Badewanne, nein, nein, nein, teilmöbliert, 31-40, nein, 
2-3 Zimmer, 6.Stock, Öl, ja, nah, nah, nah, nein, 501-550, 151-200, 31-50 Jahre, ja, Nebenstrasse, 11-20 km, keine, keine, Dusche, nein, ja, ja, ja, bis 20, nein, 
2-3 Zimmer, 8.Stock, Gas-Zentral, nein, nah, fern, nein, nein, 551-600, 151-200, 76-100 Jahre, ja, Nebenstrasse, > 30 km, bis 1000, Küche (alt), Badewanne, nein, ja, ja, teilmöbliert, bis 20, nein, 
3-4 Zimmer, 10.Stock, Erdwärme, nein, fern, erreichbar, mit Bus, ja, 150-200, 50-100, 1-3 Jahre, ja, Nebenstrasse, Zentrum, 2000-2500, keine, Dusche auf Flur, ja, nein, ja, ja, über 120, nein, 
Zwei Zimmer, 4.Stock, Pellets, ja, nah, fern, erreichbar, ja, über 1000, 151-200, über 100, nein, Spielstrasse, < 3 km, 2500-3000, Küche (neu), Dusche auf Flur, ja, ja, ja, teilmöbliert, 51-60, nein, 
3-4 Zimmer, 1.Stock, Gas-Etage, ja, nah, erreichbar, nah, nein, 451-500, 101-150, 7-10 Jahre, nein, Abgelegen, < 3 km, 2000-2500, keine, Badewanne, nein, nein, ja, nein, 71-80, nein, 
Ein Zimmer, EG, Öl, nein, erreichbar, erreichbar, mit Bus, ja, 201-250, unter 50, 31-50 Jahre, nein, Hauptstrasse, > 30 km, über 3000, keine, Dusche, ja, nein, nein, teilmöbliert, bis 20, ja, 
Zwei Zimmer, 3.Stock, Öl, nein, erreichbar, fern, nah, nein, 150-200, unter 50, 7-10 Jahre, ja, Spielstrasse, < 3 km, bis 1000, Küche (alt), Dusche + Wanne, ja, nein, nein, nein, 71-80, nein, 
3-4 Zimmer, 4.Stock, Gas-Etage, nein, erreichbar, fern, nein, nein, 251-300, 101-150, Neubau, nein, Nebenstrasse, > 30 km, bis 1000, keine, Dusche + Wanne, nein, nein, ja, nein, 71-80, nein, 
5-6 Zimmer, EG, Öl, ja, nah, nah, erreichbar, nein, 601-650, 101-150, 76-100 Jahre, ja, Abgelegen, < 3 km, keine, Küche (alt), Dusche auf Flur, nein, nein, ja, teilmöbliert, über 120, nein, 
6 Zimmer, 6.Stock, Gas-Etage, ja, nah, erreichbar, mit Bus, nein, 801-850, unter 50, 1-3 Jahre, nein, Hauptstrasse, 11-20 km, 1500-2000, Küche (alt), Dusche auf Flur, ja, ja, nein, teilmöbliert, bis 20, nein, 
6 Zimmer, 8.Stock, Pellets, nein, fern, erreichbar, mit Bus, ja, 150-200, 251-300, 21-30 Jahre, nein, Abgelegen, 21-30 km, 2000-2500, Küche (alt), Waschbecken, ja, ja, nein, teilmöbliert, 101-110, nein, 
Ein Zimmer, 7.Stock, Öl, nein, erreichbar, nah, erreichbar, ja, 150-200, unter 50, 7-10 Jahre, nein, Wohngebiet, > 30 km, 1000-1500, keine, Dusche, nein, nein, nein, nein, 20-30, ja, 
Ein Zimmer, 10.Stock, Lüftungsheizung, ja, nah, erreichbar, mit Bus, nein, 401-450, 101-150, 51-75 Jahre, ja, Spielstrasse, 21-30 km, 1000-1500, Küche (neu), Waschbecken, nein, nein, nein, teilmöbliert, 61-70, nein, 
2-3 Zimmer, 4.Stock, Pellets, ja, erreichbar, fern, mit Bus, ja, 401-450, 101-150, 76-100 Jahre, ja, Hauptstrasse, 3-5 km, 1500-2000, Küche (neu), Badewanne, nein, ja, nein, nein, 111-120, nein, 
3-4 Zimmer, 9.Stock, Gas-Etage, ja, nah, nah, nah, ja, 601-650, unter 50, 76-100 Jahre, nein, Nebenstrasse, 21-30 km, 1500-2000, Küche (alt), Waschbecken, nein, ja, nein, ja, 101-110, nein, 
Ein Zimmer, 9.Stock, Gas-Zentral, nein, fern, erreichbar, nah, ja, 301-350, 101-150, 1-3 Jahre, nein, Hauptstrasse, < 3 km, über 3000, Küche (alt), Dusche auf Flur, ja, nein, ja, teilmöbliert, 71-80, nein, 
4-5 Zimmer, 3.Stock, Erdwärme, ja, fern, nah, nein, nein, 851-900, 251-300, 51-75 Jahre, nein, Nebenstrasse, < 3 km, 1000-1500, Küche (alt), Waschbecken, ja, nein, nein, ja, über 120, nein, 
2-3 Zimmer, 9.Stock, Öl, ja, erreichbar, erreichbar, erreichbar, nein, 851-900, 201-250, 7-10 Jahre, nein, Abgelegen, 5-10 km, über 3000, keine, Dusche, nein, ja, ja, teilmöbliert, 111-120, nein, 
Ein Zimmer, 5.Stock, Gas-Zentral, nein, fern, nah, erreichbar, ja, 551-600, 201-250, Neubau, nein, Nebenstrasse, > 30 km, 1000-1500, keine, Dusche, ja, nein, ja, teilmöbliert, 111-120, nein, 
6 Zimmer, 10.Stock, Gas-Etage, ja, erreichbar, fern, mit Bus, nein, 951-1000, 151-200, 7-10 Jahre, nein, Hauptstrasse, 11-20 km, keine, keine, Badewanne, ja, nein, nein, ja, über 120, nein, 
3 Zimmer, 5.Stock, Öl, nein, nah, nah, erreichbar, ja, 201-250, 201-250, 7-10 Jahre, ja, Wohngebiet, < 3 km, 2000-2500, Küche (neu), Badewanne, nein, nein, ja, nein, 20-30, nein, 
6 Zimmer, 8.Stock, Lüftungsheizung, nein, erreichbar, nah, mit Bus, nein, 301-350, 251-300, 76-100 Jahre, ja, Spielstrasse, < 3 km, bis 1000, Küche (alt), Dusche auf Flur, ja, nein, ja, ja, 91-100, nein, 
4-5 Zimmer, 7.Stock, Erdwärme, ja, nah, nah, erreichbar, nein, 551-600, 251-300, 1-3 Jahre, ja, Wohngebiet, 11-20 km, 2000-2500, Küche (alt), Dusche auf Flur, nein, ja, ja, ja, 71-80, nein, 
4 Zimmer, 5.Stock, Gas-Etage, ja, nah, nah, mit Bus, nein, 401-450, 151-200, 7-10 Jahre, nein, Abgelegen, Zentrum, 2500-3000, keine, Waschbecken, ja, nein, ja, nein, 41-50, nein, 
4-5 Zimmer, 9.Stock, Gas-Zentral, ja, fern, nah, nah, nein, 251-300, 201-250, 4-7 Jahre, nein, Nebenstrasse, 3-5 km, 2500-3000, Küche (neu), Badewanne, ja, ja, ja, teilmöbliert, 101-110, nein, 
4 Zimmer, 6.Stock, Öl, nein, nah, fern, erreichbar, nein, 501-550, 50-100, 31-50 Jahre, nein, Hauptstrasse, Zentrum, keine, Küche (alt), Dusche auf Flur, ja, ja, ja, ja, 31-40, nein, 
Zwei Zimmer, 4.Stock, Gas-Zentral, nein, fern, fern, nah, nein, 301-350, 151-200, 21-30 Jahre, nein, Spielstrasse, 3-5 km, über 3000, Küche (alt), Waschbecken, nein, ja, ja, ja, 61-70, nein, 
6 Zimmer, 2.Stock, Erdwärme, nein, fern, erreichbar, nein, nein, 701-750, 201-250, 76-100 Jahre, nein, Wohngebiet, < 3 km, 2500-3000, Küche (alt), Badewanne, nein, nein, nein, nein, 41-50, nein, 
4 Zimmer, 8.Stock, Gas-Zentral, ja, erreichbar, fern, erreichbar, ja, 401-450, 151-200, 51-75 Jahre, nein, Abgelegen, > 30 km, 1500-2000, Küche (neu), Waschbecken, ja, ja, nein, nein, 61-70, nein, 
Zwei Zimmer, 2.Stock, Lüftungsheizung, ja, erreichbar, fern, erreichbar, nein, 301-350, 50-100, 4-7 Jahre, nein, Abgelegen, Zentrum, bis 1000, Küche (neu), Waschbecken, ja, ja, ja, nein, 101-110, nein, 
Zwei Zimmer, 7.Stock, Pellets, ja, erreichbar, fern, nein, nein, 601-650, über 300, Neubau, nein, Hauptstrasse, < 3 km, 1000-1500, Küche (alt), Dusche auf Flur, nein, ja, nein, ja, über 120, nein, 
3-4 Zimmer, 1.Stock, Erdwärme, nein, erreichbar, nah, mit Bus, ja, 301-350, 251-300, 51-75 Jahre, ja, Wohngebiet, 21-30 km, 1500-2000, Küche (alt), Dusche + Wanne, nein, ja, ja, teilmöbliert, bis 20, nein, 
3-4 Zimmer, 6.Stock, Öl, ja, erreichbar, erreichbar, nein, ja, 451-500, 50-100, 21-30 Jahre, ja, Abgelegen, 21-30 km, 1500-2000, Küche (neu), Dusche + Wanne, ja, ja, ja, ja, 91-100, nein, 
4 Zimmer, 9.Stock, Lüftungsheizung, nein, nah, erreichbar, nah, ja, 551-600, 251-300, 1-3 Jahre, nein, Spielstrasse, 11-20 km, 1500-2000, keine, Dusche + Wanne, nein, ja, ja, ja, über 120, nein, 
2-3 Zimmer, 8.Stock, Pellets, nein, fern, nah, nah, ja, 951-1000, 251-300, 31-50 Jahre, nein, Hauptstrasse, 21-30 km, keine, Küche (alt), Waschbecken, ja, nein, ja, teilmöbliert, 91-100, nein, 
3-4 Zimmer, 3.Stock, Pellets, nein, nah, erreichbar, nah, ja, 251-300, 50-100, 4-7 Jahre, nein, Hauptstrasse, > 30 km, bis 1000, keine, Badewanne, ja, nein, nein, nein, 61-70, nein, 
Zwei Zimmer, 8.Stock, Gas-Etage, ja, erreichbar, erreichbar, nah, nein, 851-900, 50-100, 76-100 Jahre, nein, Abgelegen, < 3 km, 1500-2000, Küche (neu), Waschbecken, nein, ja, nein, nein, bis 20, nein, 
2-3 Zimmer, 6.Stock, Gas-Zentral, nein, erreichbar, nah, nah, nein, 451-500, 50-100, 21-30 Jahre, ja, Hauptstrasse, Zentrum, 2000-2500, keine, Dusche + Wanne, nein, nein, nein, nein, 91-100, nein, 
4 Zimmer, 1.Stock, Öl, nein, fern, nah, mit Bus, ja, über 1000, 201-250, 31-50 Jahre, ja, Spielstrasse, 3-5 km, bis 1000, keine, Dusche, nein, nein, nein, ja, 31-40, nein, 
3 Zimmer, 6.Stock, Gas-Zentral, nein, fern, erreichbar, nah, ja, 701-750, 201-250, 21-30 Jahre, ja, Spielstrasse, < 3 km, über 3000, Küche (alt), Dusche + Wanne, nein, nein, nein, teilmöbliert, 51-60, nein, 
5-6 Zimmer, 2.Stock, Erdwärme, ja, fern, fern, erreichbar, ja, 351-400, 50-100, 21-30 Jahre, nein, Spielstrasse, 3-5 km, 1500-2000, keine, Badewanne, ja, ja, ja, ja, 41-50, nein, 
Ein Zimmer, 9.Stock, Lüftungsheizung, ja, nah, nah, mit Bus, ja, 451-500, 151-200, 4-7 Jahre, nein, Wohngebiet, 11-20 km, über 3000, keine, Dusche + Wanne, ja, nein, ja, ja, 31-40, nein, 
5-6 Zimmer, 1.Stock, Lüftungsheizung, ja, erreichbar, fern, nah, ja, 951-1000, 251-300, 51-75 Jahre, nein, Hauptstrasse, Zentrum, 1500-2000, Küche (neu), Dusche, nein, ja, ja, ja, 101-110, nein, 
4-5 Zimmer, 3.Stock, Öl, nein, nah, erreichbar, mit Bus, nein, 651-700, 201-250, 11-15 Jahre, nein, Wohngebiet, > 30 km, bis 1000, Küche (alt), Dusche auf Flur, ja, ja, nein, teilmöbliert, 101-110, nein, 
3 Zimmer, 3.Stock, Erdwärme, nein, erreichbar, fern, mit Bus, nein, 401-450, 201-250, 76-100 Jahre, nein, Wohngebiet, Zentrum, 2000-2500, Küche (neu), Dusche, ja, ja, nein, nein, über 120, nein, 
Zwei Zimmer, 2.Stock, Pellets, ja, nah, erreichbar, nah, nein, 251-300, 151-200, 7-10 Jahre, ja, Abgelegen, < 3 km, 1000-1500, Küche (neu), Dusche auf Flur, ja, nein, ja, ja, 91-100, nein, 
2-3 Zimmer, 7.Stock, Lüftungsheizung, ja, nah, erreichbar, erreichbar, nein, 801-850, über 300, Neubau, nein, Abgelegen, 5-10 km, bis 1000, Küche (alt), Dusche, ja, ja, nein, nein, bis 20, nein, 
3 Zimmer, 7.Stock, Lüftungsheizung, ja, erreichbar, fern, erreichbar, ja, 251-300, 151-200, 1-3 Jahre, ja, Abgelegen, < 3 km, über 3000, Küche (alt), Dusche, ja, ja, nein, teilmöbliert, 111-120, nein, 
Ein Zimmer, EG, Öl, ja, nah, nah, mit Bus, nein, 301-350, 50-100, 1-3 Jahre, nein, Spielstrasse, 5-10 km, 1500-2000, keine, Dusche + Wanne, ja, ja, nein, nein, über 120, nein, 
4-5 Zimmer, 10.Stock, Gas-Zentral, ja, erreichbar, fern, mit Bus, nein, 601-650, 251-300, 11-15 Jahre, nein, Wohngebiet, < 3 km, keine, keine, Dusche auf Flur, ja, ja, ja, teilmöbliert, 41-50, nein, 
Ein Zimmer, 4.Stock, Erdwärme, nein, fern, erreichbar, erreichbar, ja, 501-550, 251-300, 1-3 Jahre, ja, Hauptstrasse, 5-10 km, 2500-3000, Küche (alt), Badewanne, nein, ja, ja, ja, 91-100, nein, 
4 Zimmer, 1.Stock, Gas-Zentral, ja, nah, erreichbar, erreichbar, ja, 451-500, 201-250, 1-3 Jahre, ja, Nebenstrasse, 21-30 km, keine, Küche (neu), Dusche, ja, ja, nein, teilmöbliert, 41-50, nein, 
Ein Zimmer, 10.Stock, Lüftungsheizung, nein, erreichbar, erreichbar, mit Bus, nein, 551-600, unter 50, 11-15 Jahre, ja, Nebenstrasse, < 3 km, 2500-3000, keine, Waschbecken, ja, nein, nein, nein, 61-70, nein, 
4-5 Zimmer, 9.Stock, Gas-Zentral, ja, erreichbar, erreichbar, mit Bus, nein, 451-500, 101-150, 4-7 Jahre, ja, Wohngebiet, 3-5 km, bis 1000, Küche (alt), Dusche, nein, nein, ja, teilmöbliert, 111-120, nein, 
5 Zimmer, 4.Stock, Pellets, ja, erreichbar, nah, erreichbar, ja, 150-200, 151-200, 76-100 Jahre, ja, Spielstrasse, Zentrum, 1500-2000, keine, Dusche + Wanne, ja, ja, nein, teilmöbliert, 61-70, nein, 
