Zimmerzahl, Stockwerk, Heizung, Hausmeister, Kindergarten, Schule, S-Bahn, Garage, Miete, Nebenkosten, Alter, Aufzug, Lage, Entfernung, Kaution, Küche, Bad, Balkon, Terrasse, Kehrwoche, Möbliert, Quadratmeter, Teacher
5-6 Zimmer, 8.Stock, Lüftungsheizung, nein, fern, nah, nah, nein, 751-800, 201-250, 7-10 Jahre, nein, Abgelegen, 11-20 km, keine, Küche (neu), Badewanne, nein, ja, nein, nein, 81-90, nein, 
6 Zimmer, 7.Stock, Lüftungsheizung, ja, erreichbar, nah, mit Bus, nein, 451-500, 101-150, 7-10 Jahre, ja, Spielstrasse, > 30 km, 1000-1500, Küche (neu), Dusche + Wanne, nein, ja, nein, ja, 111-120, nein, 
2-3 Zimmer, 6.Stock, Öl, ja, fern, fern, mit Bus, ja, 150-200, unter 50, 21-30 Jahre, ja, Abgelegen, 5-10 km, 2000-2500, Küche (neu), Waschbecken, ja, ja, nein, nein, bis 20, nein, 
6 Zimmer, 5.Stock, Lüftungsheizung, ja, erreichbar, fern, nein, nein, 201-250, 201-250, 11-15 Jahre, ja, Nebenstrasse, 5-10 km, über 3000, Küche (alt), Dusche auf Flur, ja, nein, nein, teilmöbliert, über 120, nein, 
3-4 Zimmer, EG, Erdwärme, nein, erreichbar, erreichbar, mit Bus, ja, 201-250, über 300, 4-7 Jahre, ja, Spielstrasse, 5-10 km, 1000-1500, Küche (neu), Waschbecken, ja, ja, ja, teilmöbliert, 91-100, nein, 
3 Zimmer, 6.Stock, Gas-Etage, ja, fern, erreichbar, erreichbar, nein, 701-750, unter 50, 21-30 Jahre, nein, Wohngebiet, 5-10 km, 1500-2000, Küche (alt), Dusche, nein, nein, nein, teilmöbliert, 101-110, nein, 
Ein Zimmer, 7.Stock, Öl, nein, fern, nah, erreichbar, nein, 201-250, unter 50, Neubau, ja, Hauptstrasse, 21-30 km, 2000-2500, keine, Badewanne, nein, ja, ja, ja, 101-110, ja, 
Zwei Zimmer, 1.Stock, Pellets, nein, nah, fern, erreichbar, ja, 951-1000, 251-300, 7-10 Jahre, ja, Hauptstrasse, Zentrum, über 3000, Küche (alt), Waschbecken, ja, nein, ja, nein, 51-60, nein, 
Zwei Zimmer, 8.Stock, Pellets, ja, fern, erreichbar, nah, nein, 801-850, 201-250, 11-15 Jahre, ja, Nebenstrasse, Zentrum, 1500-2000, Küche (alt), Dusche auf Flur, ja, nein, ja, teilmöbliert, 61-70, nein, 
4-5 Zimmer, 2.Stock, Gas-Zentral, ja, erreichbar, erreichbar, mit Bus, ja, 351-400, 251-300, 11-15 Jahre, ja, Hauptstrasse, Zentrum, 1500-2000, Küche (neu), Dusche auf Flur, nein, ja, nein, teilmöbliert, 81-90, nein, 
3 Zimmer, 3.Stock, Gas-Etage, nein, erreichbar, fern, nein, nein, 851-900, 101-150, 31-50 Jahre, nein, Spielstrasse, Zentrum, über 3000, Küche (neu), Waschbecken, nein, nein, nein, ja, bis 20, nein, 
5 Zimmer, 6.Stock, Pellets, ja, erreichbar, fern, mit Bus, nein, 301-350, 50-100, 16-20 Jahre, nein, Hauptstrasse, 5-10 km, 2500-3000, keine, Dusche auf Flur, ja, nein, ja, ja, 31-40, nein, 
6 Zimmer, 5.Stock, Gas-Zentral, nein, fern, fern, mit Bus, nein, 150-200, 50-100, 1-3 Jahre, nein, Hauptstrasse, < 3 km, 2000-2500, Küche (alt), Waschbecken, nein, nein, nein, ja, 51-60, nein, 
Ein Zimmer, 6.Stock, Gas-Etage, nein, fern, nah, mit Bus, nein, 201-250, unter 50, über 100, nein, Hauptstrasse, 3-5 km, 2500-3000, Küche (neu), Badewanne, ja, nein, nein, nein, 51-60, ja, 
5-6 Zimmer, 2.Stock, Erdwärme, ja, nah, fern, nein, ja, 751-800, über 300, 31-50 Jahre, ja, Abgelegen, > 30 km, 1000-1500, Küche (alt), Dusche, nein, nein, nein, teilmöbliert, 51-60, nein, 
2-3 Zimmer, 5.Stock, Pellets, nein, nah, nah, erreichbar, nein, 901-950, unter 50, 31-50 Jahre, nein, Hauptstrasse, 11-20 km, über 3000, keine, Waschbecken, nein, ja, nein, nein, 91-100, nein, 
5-6 Zimmer, 10.Stock, Erdwärme, ja, erreichbar, erreichbar, nah, ja, 601-650, über 300, 11-15 Jahre, nein, Abgelegen, Zentrum, 2500-3000, Küche (neu), Dusche, ja, nein, ja, nein, 20-30, nein, 
Ein Zimmer, 3.Stock, Erdwärme, ja, erreichbar, nah, nein, nein, 901-950, 50-100, 1-3 Jahre, ja, Abgelegen, 5-10 km, 2500-3000, Küche (neu), Dusche + Wanne, ja, nein, nein, ja, 101-110, nein, 
Ein Zimmer, 5.Stock, Gas-Zentral, nein, erreichbar, fern, nah, nein, 201-250, unter 50, 1-3 Jahre, ja, Nebenstrasse, 5-10 km, 2000-2500, Küche (alt), Badewanne, ja, nein, nein, nein, bis 20, ja, 
5 Zimmer, EG, Gas-Zentral, ja, fern, nah, mit Bus, nein, 701-750, 151-200, 1-3 Jahre, nein, Wohngebiet, 5-10 km, 1500-2000, Küche (neu), Dusche + Wanne, ja, ja, nein, teilmöbliert, über 120, nein, 
4-5 Zimmer, 3.Stock, Lüftungsheizung, nein, fern, nah, nah, nein, 150-200, 151-200, 1-3 Jahre, nein, Hauptstrasse, > 30 km, 1000-1500, keine, Dusche, nein, ja, ja, teilmöbliert, 81-90, nein, 
Ein Zimmer, 3.Stock, Gas-Etage, ja, fern, fern, erreichbar, ja, 150-200, unter 50, 7-10 Jahre, ja, Hauptstrasse, 5-10 km, bis 1000, Küche (neu), Dusche + Wanne, ja, ja, ja, ja, 71-80, ja, 
Zwei Zimmer, 4.Stock, Öl, nein, nah, erreichbar, nein, ja, 551-600, über 300, 4-7 Jahre, ja, Spielstrasse, > 30 km, 1000-1500, Küche (alt), Dusche + Wanne, ja, ja, nein, ja, 41-50, nein, 
Ein Zimmer, 4.Stock, Öl, ja, fern, nah, nah, nein, 201-250, unter 50, 51-75 Jahre, ja, Spielstrasse, 11-20 km, 1500-2000, Küche (neu), Dusche, ja, ja, nein, nein, über 120, ja, 
5-6 Zimmer, 4.Stock, Pellets, nein, fern, nah, nein, ja, 251-300, unter 50, 21-30 Jahre, ja, Abgelegen, 5-10 km, 2000-2500, keine, Dusche + Wanne, ja, nein, ja, nein, über 120, nein, 
3-4 Zimmer, EG, Lüftungsheizung, nein, fern, erreichbar, nein, nein, 351-400, 151-200, Neubau, nein, Spielstrasse, 3-5 km, keine, Küche (neu), Dusche + Wanne, ja, ja, ja, teilmöbliert, 111-120, nein, 
3-4 Zimmer, 8.Stock, Gas-Etage, ja, erreichbar, erreichbar, nah, nein, 251-300, 201-250, 31-50 Jahre, nein, Abgelegen, 11-20 km, über 3000, Küche (alt), Dusche + Wanne, nein, ja, nein, nein, über 120, nein, 
6 Zimmer, 9.Stock, Gas-Zentral, nein, nah, erreichbar, nah, ja, über 1000, unter 50, 21-30 Jahre, ja, Spielstrasse, 21-30 km, 2000-2500, Küche (alt), Dusche, ja, nein, nein, nein, 20-30, nein, 
4 Zimmer, 5.Stock, Lüftungsheizung, nein, fern, erreichbar, nein, nein, über 1000, 101-150, 21-30 Jahre, ja, Abgelegen, 3-5 km, bis 1000, Küche (neu), Dusche + Wanne, nein, nein, nein, ja, bis 20, nein, 
4 Zimmer, EG, Gas-Etage, ja, erreichbar, fern, erreichbar, ja, 601-650, 101-150, Neubau, ja, Wohngebiet, < 3 km, 1000-1500, Küche (alt), Badewanne, nein, nein, ja, nein, 111-120, nein, 
Zwei Zimmer, EG, Pellets, ja, erreichbar, erreichbar, mit Bus, nein, 201-250, 50-100, 31-50 Jahre, nein, Spielstrasse, 3-5 km, 1000-1500, Küche (alt), Dusche + Wanne, ja, ja, nein, nein, über 120, nein, 
3-4 Zimmer, 7.Stock, Pellets, ja, fern, nah, mit Bus, nein, 351-400, 101-150, 4-7 Jahre, ja, Nebenstrasse, 11-20 km, keine, Küche (alt), Badewanne, ja, ja, ja, nein, 41-50, nein, 
Ein Zimmer, 1.Stock, Erdwärme, ja, erreichbar, fern, nah, ja, 150-200, unter 50, 1-3 Jahre, nein, Nebenstrasse, Zentrum, 1500-2000, keine, Dusche auf Flur, nein, ja, nein, nein, über 120, ja, 
Ein Zimmer, 10.Stock, Erdwärme, nein, fern, erreichbar, mit Bus, nein, 801-850, über 300, 31-50 Jahre, ja, Abgelegen, 11-20 km, bis 1000, Küche (alt), Dusche auf Flur, ja, nein, ja, nein, 91-100, nein, 
2-3 Zimmer, 5.Stock, Pellets, ja, erreichbar, fern, nah, ja, 150-200, 50-100, Neubau, nein, Nebenstrasse, > 30 km, 2000-2500, Küche (neu), Waschbecken, nein, nein, nein, nein, 41-50, nein, 
5 Zimmer, 8.Stock, Erdwärme, ja, erreichbar, nah, erreichbar, nein, 150-200, 50-100, 21-30 Jahre, ja, Wohngebiet, > 30 km, über 3000, keine, Dusche + Wanne, ja, ja, ja, teilmöbliert, 31-40, nein, 
4-5 Zimmer, 7.Stock, Lüftungsheizung, nein, nah, nah, erreichbar, nein, 451-500, 151-200, Neubau, nein, Nebenstrasse, < 3 km, über 3000, Küche (alt), Dusche, nein, nein, nein, ja, bis 20, nein, 
4-5 Zimmer, 9.Stock, Öl, ja, erreichbar, nah, nah, ja, 801-850, 251-300, 51-75 Jahre, nein, Hauptstrasse, > 30 km, keine, keine, Waschbecken, nein, ja, nein, nein, bis 20, nein, 
4-5 Zimmer, 5.Stock, Gas-Zentral, ja, erreichbar, nah, erreichbar, nein, 901-950, 201-250, 21-30 Jahre, ja, Hauptstrasse, < 3 km, 2500-3000, Küche (neu), Dusche + Wanne, nein, nein, nein, teilmöbliert, bis 20, nein, 
5 Zimmer, 4.Stock, Pellets, ja, erreichbar, nah, erreichbar, ja, 251-300, über 300, 21-30 Jahre, nein, Abgelegen, > 30 km, 2000-2500, Küche (alt), Dusche, nein, ja, nein, ja, 20-30, nein, 
Ein Zimmer, 6.Stock, Lüftungsheizung, ja, erreichbar, fern, nah, nein, 150-200, unter 50, 7-10 Jahre, nein, Nebenstrasse, 5-10 km, bis 1000, Küche (neu), Dusche auf Flur, ja, nein, nein, nein, 101-110, ja, 
3 Zimmer, 3.Stock, Pellets, nein, erreichbar, nah, nein, nein, 301-350, 201-250, 4-7 Jahre, nein, Nebenstrasse, Zentrum, bis 1000, Küche (neu), Badewanne, ja, ja, nein, ja, 20-30, nein, 
4 Zimmer, 10.Stock, Pellets, nein, nah, nah, mit Bus, nein, 701-750, unter 50, 4-7 Jahre, ja, Hauptstrasse, 5-10 km, 1000-1500, Küche (neu), Waschbecken, ja, nein, nein, teilmöbliert, 81-90, nein, 
5 Zimmer, 4.Stock, Lüftungsheizung, nein, erreichbar, fern, mit Bus, ja, 201-250, 50-100, über 100, nein, Abgelegen, 3-5 km, 1000-1500, Küche (neu), Waschbecken, nein, ja, nein, teilmöbliert, 31-40, nein, 
3 Zimmer, 1.Stock, Gas-Etage, nein, nah, nah, mit Bus, ja, 651-700, 251-300, 16-20 Jahre, nein, Nebenstrasse, 11-20 km, 1500-2000, keine, Dusche + Wanne, nein, ja, nein, nein, 41-50, nein, 
6 Zimmer, 3.Stock, Pellets, nein, nah, fern, erreichbar, nein, 751-800, 201-250, 21-30 Jahre, ja, Nebenstrasse, Zentrum, keine, Küche (alt), Dusche + Wanne, nein, ja, nein, teilmöbliert, 111-120, nein, 
3-4 Zimmer, 3.Stock, Lüftungsheizung, ja, erreichbar, nah, nein, nein, 651-700, 151-200, 1-3 Jahre, nein, Nebenstrasse, 5-10 km, keine, keine, Dusche auf Flur, ja, ja, nein, teilmöbliert, 101-110, nein, 
Ein Zimmer, 9.Stock, Erdwärme, ja, erreichbar, erreichbar, nah, nein, 551-600, 151-200, 1-3 Jahre, nein, Spielstrasse, < 3 km, 1500-2000, Küche (alt), Badewanne, nein, nein, nein, ja, bis 20, nein, 
Ein Zimmer, 10.Stock, Pellets, ja, nah, fern, nah, ja, 201-250, unter 50, 4-7 Jahre, nein, Wohngebiet, 11-20 km, 2000-2500, Küche (neu), Dusche auf Flur, nein, nein, ja, teilmöbliert, über 120, ja, 
2-3 Zimmer, 7.Stock, Gas-Zentral, nein, nah, fern, nah, ja, über 1000, 50-100, 4-7 Jahre, nein, Abgelegen, 11-20 km, 2500-3000, keine, Waschbecken, ja, ja, ja, teilmöbliert, über 120, nein, 
4-5 Zimmer, 4.Stock, Öl, nein, fern, fern, nein, nein, über 1000, über 300, Neubau, ja, Nebenstrasse, 5-10 km, 1500-2000, Küche (neu), Dusche + Wanne, ja, nein, ja, teilmöbliert, 51-60, nein, 
4-5 Zimmer, 1.Stock, Erdwärme, ja, nah, nah, nah, nein, 451-500, über 300, 76-100 Jahre, nein, Spielstrasse, > 30 km, über 3000, Küche (alt), Dusche + Wanne, ja, ja, ja, nein, 31-40, nein, 
Zwei Zimmer, 5.Stock, Öl, nein, erreichbar, fern, erreichbar, ja, 150-200, unter 50, 51-75 Jahre, ja, Spielstrasse, 11-20 km, 1500-2000, keine, Waschbecken, nein, nein, ja, ja, 61-70, nein, 
4-5 Zimmer, 7.Stock, Gas-Zentral, ja, nah, erreichbar, mit Bus, ja, 701-750, 101-150, 31-50 Jahre, ja, Hauptstrasse, > 30 km, über 3000, keine, Dusche, ja, nein, ja, teilmöbliert, bis 20, nein, 
5 Zimmer, 5.Stock, Öl, nein, fern, erreichbar, erreichbar, ja, 451-500, 251-300, Neubau, nein, Hauptstrasse, Zentrum, 2000-2500, keine, Waschbecken, nein, nein, nein, nein, bis 20, nein, 
5 Zimmer, EG, Lüftungsheizung, ja, fern, fern, mit Bus, ja, 351-400, 201-250, 21-30 Jahre, ja, Abgelegen, Zentrum, 1500-2000, Küche (neu), Waschbecken, ja, nein, nein, teilmöbliert, über 120, nein, 
6 Zimmer, 2.Stock, Lüftungsheizung, nein, fern, erreichbar, erreichbar, nein, 401-450, 101-150, 4-7 Jahre, nein, Hauptstrasse, Zentrum, 2000-2500, Küche (alt), Dusche, nein, ja, nein, ja, 71-80, nein, 
Ein Zimmer, 9.Stock, Pellets, nein, nah, nah, nein, ja, 251-300, unter 50, 76-100 Jahre, nein, Abgelegen, 11-20 km, bis 1000, Küche (neu), Dusche auf Flur, nein, nein, ja, teilmöbliert, 41-50, nein, 
Ein Zimmer, 8.Stock, Gas-Etage, nein, fern, fern, nah, ja, 301-350, 50-100, 4-7 Jahre, nein, Hauptstrasse, 3-5 km, 2500-3000, Küche (neu), Dusche + Wanne, ja, nein, ja, ja, bis 20, nein, 
5-6 Zimmer, EG, Lüftungsheizung, nein, erreichbar, fern, erreichbar, nein, 501-550, 50-100, 11-15 Jahre, ja, Nebenstrasse, 5-10 km, 2500-3000, keine, Dusche, ja, ja, ja, ja, 51-60, nein, 
Ein Zimmer, 4.Stock, Öl, nein, erreichbar, nah, erreichbar, nein, 701-750, 151-200, 76-100 Jahre, ja, Spielstrasse, Zentrum, keine, keine, Dusche auf Flur, nein, ja, ja, ja, 51-60, nein, 
Zwei Zimmer, 6.Stock, Öl, nein, fern, nah, erreichbar, nein, 901-950, 151-200, Neubau, nein, Spielstrasse, 21-30 km, 1500-2000, Küche (neu), Badewanne, ja, nein, nein, ja, 41-50, nein, 
3-4 Zimmer, 5.Stock, Lüftungsheizung, ja, nah, nah, nein, nein, 150-200, unter 50, 51-75 Jahre, nein, Wohngebiet, 3-5 km, bis 1000, Küche (alt), Dusche, nein, ja, nein, ja, 81-90, nein, 
5-6 Zimmer, 5.Stock, Gas-Zentral, nein, fern, nah, erreichbar, nein, 851-900, 151-200, 16-20 Jahre, ja, Hauptstrasse, 21-30 km, keine, keine, Dusche, nein, ja, ja, teilmöbliert, über 120, nein, 
4-5 Zimmer, EG, Pellets, nein, erreichbar, fern, nah, nein, 301-350, unter 50, 76-100 Jahre, nein, Nebenstrasse, 3-5 km, keine, Küche (neu), Badewanne, ja, ja, ja, teilmöbliert, 20-30, nein, 
Zwei Zimmer, 9.Stock, Gas-Zentral, nein, fern, erreichbar, nein, ja, 851-900, 251-300, über 100, ja, Abgelegen, < 3 km, über 3000, keine, Waschbecken, nein, ja, nein, ja, 61-70, nein, 
5 Zimmer, 2.Stock, Erdwärme, nein, fern, nah, nein, ja, 301-350, unter 50, 1-3 Jahre, ja, Hauptstrasse, 11-20 km, keine, Küche (alt), Badewanne, ja, ja, nein, teilmöbliert, 61-70, nein, 
3 Zimmer, 7.Stock, Gas-Etage, nein, fern, nah, mit Bus, nein, 150-200, 101-150, 7-10 Jahre, ja, Wohngebiet, 21-30 km, 1000-1500, Küche (alt), Badewanne, ja, nein, ja, teilmöbliert, 31-40, nein, 
Zwei Zimmer, 6.Stock, Erdwärme, nein, nah, nah, mit Bus, ja, 951-1000, über 300, 1-3 Jahre, ja, Spielstrasse, < 3 km, 1500-2000, Küche (neu), Dusche + Wanne, nein, nein, nein, nein, 111-120, nein, 
6 Zimmer, 1.Stock, Lüftungsheizung, ja, erreichbar, fern, nein, ja, 551-600, 101-150, über 100, ja, Nebenstrasse, 5-10 km, 2500-3000, keine, Waschbecken, nein, nein, nein, teilmöbliert, 51-60, nein, 
2-3 Zimmer, 9.Stock, Gas-Etage, nein, nah, nah, nah, nein, 201-250, 201-250, 4-7 Jahre, nein, Wohngebiet, 5-10 km, keine, keine, Dusche auf Flur, ja, nein, ja, teilmöbliert, 71-80, nein, 
Ein Zimmer, EG, Erdwärme, ja, nah, fern, mit Bus, ja, 201-250, 201-250, über 100, nein, Abgelegen, > 30 km, 2000-2500, Küche (neu), Badewanne, ja, ja, ja, ja, 31-40, nein, 
3 Zimmer, 9.Stock, Gas-Etage, ja, fern, nah, nein, nein, 901-950, 151-200, 4-7 Jahre, nein, Hauptstrasse, 5-10 km, 1500-2000, Küche (alt), Dusche, nein, nein, nein, ja, 101-110, nein, 
4-5 Zimmer, 7.Stock, Lüftungsheizung, ja, erreichbar, erreichbar, erreichbar, ja, 451-500, unter 50, 16-20 Jahre, nein, Abgelegen, < 3 km, 2000-2500, keine, Dusche + Wanne, nein, nein, ja, ja, 71-80, nein, 
6 Zimmer, 3.Stock, Gas-Zentral, ja, nah, fern, erreichbar, nein, 601-650, 251-300, 51-75 Jahre, ja, Hauptstrasse, 11-20 km, 1500-2000, Küche (neu), Dusche + Wanne, nein, nein, nein, ja, 71-80, nein, 
4 Zimmer, 10.Stock, Öl, ja, fern, erreichbar, mit Bus, ja, 501-550, 251-300, 51-75 Jahre, ja, Spielstrasse, > 30 km, 2500-3000, Küche (alt), Waschbecken, nein, ja, ja, teilmöbliert, über 120, nein, 
Zwei Zimmer, EG, Gas-Etage, nein, nah, fern, nah, ja, 251-300, 151-200, 11-15 Jahre, nein, Wohngebiet, < 3 km, bis 1000, Küche (neu), Badewanne, ja, nein, nein, ja, über 120, nein, 
4 Zimmer, 9.Stock, Gas-Etage, nein, nah, erreichbar, nein, nein, 801-850, über 300, 16-20 Jahre, nein, Wohngebiet, 21-30 km, 1500-2000, keine, Dusche auf Flur, nein, ja, ja, ja, 91-100, nein, 
3 Zimmer, 1.Stock, Pellets, ja, erreichbar, fern, nein, nein, 951-1000, 201-250, 1-3 Jahre, nein, Wohngebiet, 11-20 km, bis 1000, keine, Waschbecken, ja, nein, ja, nein, bis 20, nein, 
3 Zimmer, EG, Öl, ja, fern, nah, erreichbar, nein, 951-1000, 50-100, 16-20 Jahre, nein, Wohngebiet, < 3 km, 1500-2000, keine, Waschbecken, nein, ja, nein, nein, bis 20, nein, 
5-6 Zimmer, 6.Stock, Lüftungsheizung, nein, fern, fern, nein, nein, 351-400, 201-250, 16-20 Jahre, nein, Abgelegen, Zentrum, über 3000, keine, Badewanne, nein, nein, ja, nein, 111-120, nein, 
6 Zimmer, 9.Stock, Lüftungsheizung, nein, erreichbar, erreichbar, erreichbar, nein, 251-300, unter 50, über 100, nein, Hauptstrasse, < 3 km, 2000-2500, keine, Dusche auf Flur, nein, nein, ja, ja, 61-70, nein, 
3 Zimmer, 7.Stock, Gas-Zentral, nein, erreichbar, fern, nah, ja, 901-950, über 300, 51-75 Jahre, nein, Spielstrasse, 5-10 km, 2000-2500, Küche (neu), Dusche + Wanne, nein, ja, nein, nein, 101-110, nein, 
2-3 Zimmer, 1.Stock, Pellets, nein, fern, fern, nein, nein, 301-350, 201-250, 76-100 Jahre, ja, Spielstrasse, 5-10 km, 1500-2000, Küche (neu), Dusche, ja, nein, ja, ja, bis 20, nein, 
Ein Zimmer, 9.Stock, Erdwärme, nein, erreichbar, nah, erreichbar, ja, 801-850, unter 50, 1-3 Jahre, nein, Wohngebiet, 21-30 km, 2500-3000, keine, Dusche auf Flur, ja, nein, ja, nein, 20-30, nein, 
Ein Zimmer, 9.Stock, Gas-Zentral, nein, erreichbar, nah, nah, ja, 201-250, 251-300, 76-100 Jahre, nein, Wohngebiet, 3-5 km, 2000-2500, Küche (alt), Dusche auf Flur, nein, nein, ja, teilmöbliert, über 120, nein, 
Ein Zimmer, 7.Stock, Gas-Etage, nein, fern, fern, nah, nein, 301-350, 101-150, über 100, nein, Spielstrasse, 21-30 km, 1000-1500, keine, Dusche auf Flur, ja, nein, nein, ja, 91-100, nein, 
3 Zimmer, 1.Stock, Lüftungsheizung, nein, fern, erreichbar, mit Bus, ja, 401-450, 101-150, Neubau, nein, Wohngebiet, 11-20 km, 2000-2500, Küche (alt), Dusche auf Flur, ja, nein, ja, ja, 81-90, nein, 
4 Zimmer, 4.Stock, Gas-Etage, ja, erreichbar, fern, nah, ja, über 1000, 151-200, 76-100 Jahre, ja, Nebenstrasse, < 3 km, 2500-3000, keine, Badewanne, ja, nein, nein, teilmöbliert, 61-70, nein, 
2-3 Zimmer, 1.Stock, Gas-Zentral, ja, erreichbar, nah, erreichbar, nein, 601-650, 151-200, 7-10 Jahre, nein, Nebenstrasse, > 30 km, über 3000, Küche (alt), Waschbecken, ja, nein, ja, teilmöbliert, 81-90, nein, 
